National Center for Education Statistics
Computation by NCES PowerStats Version 1.0 on 3/25/2016
"Variance estimation method: BRR"
"Annualized salary for primary job in 2012 with (percent >.01), Annualized salary for primary job in 2012 0, Annualized salary for current job in 2009 with (percent >.01), Annualized salary for current job in 2009 0 by Gender, Job in 2012 related to bachelor's degree major, Occupation for primary job in 2012, Employment and enrollment status in 2012, Annualized salary for primary job in 2012, Annualized total salary for all jobs in 2012 and Annualized salary for current job in 2009."
" "

" ","Annualized salary for primary job in 2012
(%>0.01)"," ","Annualized salary for primary job in 2012
(Avg)"," ","Annualized salary for current job in 2009
(%>0.01)"," ","Annualized salary for current job in 2009
(Avg)"," "
"  $20,900-31,199",98.5668,[97.13280-99.28890],25603.6387,[25065.11914-26142.15820],85.9861,[82.87894-88.60683],21160.9473,[19622.10156-22699.79297]
"  $31,200-42,999",97.8534,[96.71813-98.60159],34889.9805,[34386.01562-35393.94531],87.4314,[85.31574-89.28051],24380.6406,[23525.54883-25235.73242]
"  $43,000-59,999",98.4625,[97.61378-99.01237],47928.3359,[47340.40625-48516.26562],89.7094,[87.94739-91.23940],31810.8867,[30773.58203-32848.19141]
"  $60,000-79,499",99.0720,[98.10914-99.54685],65592.8906,[64767.98438-66417.79688],91.6652,[89.33523-93.52308],42985.9258,[41332.08594-44639.76562]
"  $79,500 or more",99.6722,[99.04709-99.88767],103583.2812,[98728.83594-108437.72656],90.2559,[87.20735-92.63933],55673.0781,[52322.93750-59023.21875]
" "
"Annualized salary for current job in 2009"
"  $1-27,456",95.2174,[94.20461-96.06058],30448.8262,[29581.65430-31315.99805],100.0000,100.0000,16625.6543,[16303.66309-16947.64648]
"  $27,457-36,000",95.5854,[94.12937-96.69300],38927.9648,[37461.07812-40394.85156],100.0000,100.0000,32159.8711,[32008.92578-32310.81641]
"  $36,001-49,200",95.1873,[93.60848-96.39123],49088.2812,[47466.02344-50710.53906],100.0000,100.0000,41942.6289,[41716.23828-42169.01953]
"  $49,201 or more",96.8533,[95.32951-97.89092],72408.0000,[69671.06250-75144.93750],100.0000,[NaN-NaN],65138.0352,[63572.32031-66703.75000]
" "
" "
" "
" --------- Gender = Male ---------"
"Estimates"
"    Total",93.3642,[92.10209-94.43674],47696.5664,[46191.25000-49201.88281],83.8337,[82.28020-85.27536],32214.9082,[31125.11523-33304.70312]
" "
" "
"Job in 2012 related to bachelor's degree major"
"  Not related",100.0000,[NaN-NaN],39393.5000,[35723.27344-43063.72656],78.0120,[74.07684-81.49906],24271.4258,[22114.46484-26428.38672]
"  Closely related",100.0000,100.0000,53970.4727,[52200.46484-55740.48047],90.2677,[88.09583-92.07887],36645.1094,[35070.05859-38220.16016]
"  Somewhat related",100.0000,100.0000,55533.8008,[52594.91406-58472.68750],85.9022,[83.51745-87.99146],35037.6680,[32786.87891-37288.45703]
"  {Skipped}",‡,‡,‡,‡,‡,‡,‡,‡
" "
"Occupation for primary job in 2012"
"  Agriculture occupations",‡,‡,‡,[‡-‡],‡,[‡-‡],‡,[‡-‡]
"  Air transportation professionals",‡,[‡-‡],‡,[‡-‡],‡,[‡-‡],‡,[‡-‡]
"  Artists and designers",100.0000,100.0000,42649.0938,[36232.28125-49065.90625],86.5405,[74.31272-93.45979],27667.3496,[23016.58398-32318.11523]
"  Business managers",100.0000,[99.99999-99.99999],58774.1016,[51762.20312-65786.00000],90.8395,[86.83831-93.71241],40215.4648,[35699.92578-44731.00391]
"  Business occupations (non-management)",100.0000,100.0000,63020.9648,[59293.90234-66748.02344],90.7259,[86.04816-93.94571],40075.9375,[37024.29688-43127.57812]
"  Business/legal support (non-secretarial)",100.0000,100.0000,34701.6953,[31784.74609-37618.64453],80.0372,[73.69614-85.15743],23979.2793,[20515.04492-27443.51367]
"  Communication professionals",100.0000,100.0000,42230.7109,[33069.93750-51391.48438],84.5655,[73.44719-91.56302],24976.5195,[20163.02734-29790.01172]
"  Computer/information systems occupations",100.0000,[99.99999-99.99999],65594.2188,[61484.47266-69703.96094],89.9091,[84.85797-93.40616],42328.5195,[38750.12500-45906.91406]
"  Construction/mining occupations",100.0000,100.0000,39129.5469,[27003.51562-51255.57812],94.4769,[83.64785-98.28185],40230.9922,[32098.76758-48363.21875]
"  Engineering technicians",100.0000,100.0000,69074.0859,[53141.53516-85006.64062],84.5606,[66.21608-93.86674],45721.4727,[29693.92578-61749.01953]
"  Engineers",100.0000,[99.99999-99.99999],69312.4453,[64128.00391-74496.88281],97.8518,[95.18696-99.05579],49371.6953,[45841.41016-52901.98047]
"  Fitters, tradesmen and mechanics",100.0000,100.0000,46791.8789,[40891.52344-52692.23438],90.6878,[81.81754-95.47033],33004.3945,[27261.50586-38747.28516]
"  Food service occupations",100.0000,[NaN-NaN],23825.7031,[18941.13086-28710.27539],70.2534,[53.16836-83.08805],16229.6943,[11283.13281-21176.25586]
"  Healthcare professionals (non-nurses)",100.0000,100.0000,49508.2812,[43931.44531-55085.11719],56.1385,[40.03120-71.04834],12809.4990,[6913.14795-18705.84961]
"  Information professionals",‡,[‡-‡],‡,[‡-‡],‡,[‡-‡],‡,[‡-‡]
"  Legal professionals",100.0000,100.0000,68154.6016,[50867.94531-85441.25781],34.2029,[20.82155-50.67966],6952.6968,[3161.03564-10744.35742]
"  Life scientists",100.0000,[99.99999-99.99999],38788.5859,[27627.99609-49949.17578],93.2842,[67.20068-98.94926],28230.1621,[21087.78906-35372.53516]
"  Math-related occupations",100.0000,[99.99999-99.99999],54891.1914,[38439.62109-71342.76562],88.6519,[47.10867-98.56155],41103.0195,[20298.60938-61907.42969]
"  Military",100.0000,100.0000,67687.5156,[55135.94531-80239.08594],86.5495,[73.43481-93.74155],47879.7695,[35952.25391-59807.28516]
"  Nurses",100.0000,[99.99999-99.99999],58160.3906,[49952.67188-66368.10938],88.3272,[74.96915-95.02917],42816.5820,[33980.78125-51652.38281]
"  Other educators",100.0000,[NaN-NaN],33202.3203,[26923.62891-39481.01172],72.5823,[58.97143-82.98102],19007.1074,[13606.94141-24407.27344]
"  Other healthcare occupations",100.0000,100.0000,36087.4102,[31174.61133-41000.21094],81.8332,[69.97478-89.69765],25751.8262,[19980.00391-31523.64844]
"  Personal care occupations",100.0000,100.0000,29530.7715,[22715.05859-36346.48438],87.8439,[71.62096-95.38987],18662.8945,[12227.92969-25097.85938]
"  Physical scientists",100.0000,100.0000,52956.8867,[44473.85156-61439.92188],88.5882,[72.06663-95.89458],31695.4414,[23129.47656-40261.40625]
"  PK-12 educators",100.0000,100.0000,38134.0156,[35300.01953-40968.01172],91.3018,[83.92374-95.47627],26452.2812,[23778.08789-29126.47461]
"  Postsecondary educators",100.0000,[99.99999-99.99999],25933.5723,[21128.46875-30738.67578],79.7124,[69.27229-87.25778],18767.2754,[15120.34082-22414.20898]
"  Protective service occupations",100.0000,100.0000,52219.3711,[43740.72656-60698.01562],85.7523,[72.79575-93.12112],34169.7500,[26660.30859-41679.19141]
"  Sales occupations",100.0000,100.0000,52967.5391,[44291.24219-61643.83594],87.4343,[80.58739-92.10299],32686.2715,[28435.91211-36936.63281]
"  Secretaries and administrative assistants",100.0000,100.0000,34399.7031,[28882.63086-39916.77734],82.1846,[62.55489-92.72124],22899.0059,[16833.33203-28964.67969]
"  Social scientists",100.0000,100.0000,44851.1523,[33316.98438-56385.32031],69.7310,[47.21770-85.57520],22894.9785,[13680.70410-32109.25391]
"  Social service professionals",100.0000,100.0000,36716.1094,[32632.78711-40799.43359],82.0910,[72.42995-88.88615],21733.6973,[17965.80859-25501.58594]
"  Sports occupations",‡,[‡-‡],‡,[‡-‡],‡,[‡-‡],‡,[‡-‡]
"  Transport support occupations",100.0000,100.0000,37191.0469,[29158.39453-45223.69922],75.3126,[56.25104-87.86121],25914.4492,[16132.60840-35696.28906]
"  {Skipped}",#,#,#,#,56.1566,[48.45052-63.57675],19170.6738,[15590.39258-22750.95508]
" "
"Employment and enrollment status in 2012"
"  Full time, one job, enrolled",98.3899,[94.50914-99.54121],59415.5625,[50998.72656-67832.39844],90.4889,[85.07749-94.07461],38483.6797,[34265.07812-42702.28125]
"  Full time, one job, not enrolled",98.2074,[97.33961-98.79565],56325.5078,[54508.82812-58142.18750],88.0647,[86.30248-89.62738],36022.6328,[34741.75781-37303.50781]
"  Part time, one job, enrolled",97.0214,[88.22106-99.29903],15107.7959,[12277.89062-17937.70117],72.2911,[59.24447-82.40191],16805.6699,[12223.76953-21387.57031]
"  Part time, one job, not enrolled",99.3164,[96.52679-99.86852],23361.0215,[19253.25195-27468.79102],71.8141,[61.63620-80.16091],17848.9551,[14092.12012-21605.78906]
"  Multiple jobs, enrolled",100.0000,100.0000,32656.5625,[21610.41797-43702.70703],93.1101,[78.98713-97.98324],26771.8711,[19215.31641-34328.42578]
"  Multiple jobs, not enrolled",99.3576,[96.94275-99.86763],41874.4883,[32114.48633-51634.49219],89.4960,[81.36298-94.32727],32819.9570,[24033.82422-41606.08984]
"  Unemployed, enrolled",86.4741,[73.36630-93.68601],30129.4785,[21377.34570-38881.60938],72.2641,[57.59433-83.32809],23751.6465,[17318.35156-30184.94141]
"  Unemployed, not enrolled",78.0407,[69.52641-84.69959],24472.7734,[20165.98047-28779.56641],58.1716,[49.69557-66.19109],17111.1211,[13476.86426-20745.37891]
"  Out of the labor force, enrolled",72.4085,[63.19375-80.04478],27659.2871,[20868.82422-34449.75000],74.1817,[65.11137-81.56169],22818.6934,[17697.79883-27939.58789]
"  Out of the labor force, not enrolled",62.6731,[54.44687-70.22617],24503.3379,[19915.57031-29091.10547],78.0733,[70.11873-84.38194],26839.0840,[22022.55273-31655.61523]
"  {Skipped}",‡,‡,‡,‡,‡,‡,‡,‡
" "
"Annualized salary for primary job in 2012"
"  $1-15,599",100.0000,100.0000,8994.3828,[8312.42773-9676.33789],69.0915,[62.29305-75.15316],15071.0342,[12273.22754-17868.84180]
"  $15,600-26,999",100.0000,100.0000,21396.7207,[20988.20312-21805.23828],74.3005,[68.91206-79.03914],16077.1621,[14245.35742-17908.96680]
"  $27,000-39,999",100.0000,100.0000,33652.6250,[33300.75781-34004.49219],84.9685,[81.22585-88.07456],23633.0664,[21639.41797-25626.71484]
"  $40,000-75,999",100.0000,100.0000,54953.2344,[54271.68750-55634.78125],90.3205,[88.28069-92.03730],35952.6836,[34649.51172-37255.85547]
"  76,000 or more",100.0000,[99.99999-99.99999],105233.9688,[99613.53906-110854.39844],91.7452,[87.82555-94.48219],59023.9922,[54953.59766-63094.38672]
" "
"Annualized total salary for all jobs in 2012"
"  $1-20,899",97.2189,[92.55025-98.99357],12997.8330,[11774.24902-14221.41699],74.4411,[68.47865-79.61154],15935.6738,[13267.63770-18603.70898]
"  $20,900-31,199",99.0413,[96.03316-99.77367],25606.5469,[24701.91797-26511.17578],79.3259,[72.02722-85.11378],21505.2793,[17954.02734-25056.53125]
"  $31,200-42,999",96.0336,[93.13710-97.73734],34789.7188,[33799.85938-35779.57812],86.2484,[82.96308-88.98431],24929.6816,[23298.08008-26561.28320]
"  $43,000-59,999",98.9281,[97.82726-99.47418],48855.2305,[48108.26562-49602.19531],89.4971,[86.31971-92.00484],32386.2988,[30685.53516-34087.06250]
"  $60,000-79,499",99.0733,[97.12643-99.70514],66110.7500,[65000.15625-67221.34375],92.3281,[89.10654-94.65413],43481.1289,[41641.19531-45321.06250]
"  $79,500 or more",99.8131,[99.03313-99.96410],106130.8750,[99547.06250-112714.68750],90.9829,[87.16772-93.74525],58248.1758,[54146.15234-62350.19922]
" "
"Annualized salary for current job in 2009"
"  $1-27,456",94.5735,[92.60620-96.03981],32166.4941,[30285.19531-34047.79297],100.0000,100.0000,16257.2852,[15699.28711-16815.28320]
"  $27,457-36,000",95.2339,[92.55791-96.97910],40615.0586,[38428.28906-42801.82812],100.0000,100.0000,32349.3809,[32088.79492-32609.96680]
"  $36,001-49,200",95.6269,[92.62430-97.44095],52953.3164,[50097.46484-55809.16797],100.0000,[NaN-NaN],42297.2578,[41939.25781-42655.25781]
"  $49,201 or more",96.8902,[94.68694-98.19724],78113.5703,[73706.92188-82520.21875],100.0000,[99.99999-99.99999],66150.1875,[64032.87500-68267.50000]
" "
" "
" "
" --------- Gender = Female ---------"
"Estimates"
"    Total",93.1467,[92.20741-93.98017],37666.7812,[36750.88281-38582.67969],84.1504,[82.87580-85.34697],26673.0000,[25910.32617-27435.67383]
" "
" "
"Job in 2012 related to bachelor's degree major"
"  Not related",100.0000,100.0000,31412.1387,[29782.51758-33041.75781],82.1968,[79.23409-84.81782],22080.7988,[20681.58203-23480.01562]
"  Closely related",100.0000,100.0000,44175.7461,[42901.07031-45450.42188],89.0968,[87.60568-90.42812],30354.8691,[29378.79297-31330.94531]
"  Somewhat related",100.0000,[NaN-NaN],41696.6797,[40028.64062-43364.71875],85.6823,[83.23692-87.82307],27211.9844,[25797.24805-28626.72070]
"  {Skipped}",‡,‡,‡,‡,‡,‡,‡,‡
" "
"Occupation for primary job in 2012"
"  Agriculture occupations",‡,‡,‡,[‡-‡],‡,[‡-‡],‡,[‡-‡]
"  Air transportation professionals",‡,‡,‡,[‡-‡],‡,[‡-‡],‡,[‡-‡]
"  Artists and designers",100.0000,100.0000,35682.5508,[31226.29883-40138.80469],81.1482,[72.23994-87.68517],23677.1250,[17881.28125-29472.96875]
"  Business managers",100.0000,100.0000,47884.6641,[43777.67578-51991.65234],93.2897,[89.76372-95.65987],32386.4629,[29785.82422-34987.10156]
"  Business occupations (non-management)",100.0000,100.0000,54292.4883,[51276.79688-57308.17969],91.2571,[86.72265-94.34395],36228.1836,[33686.67188-38769.69531]
"  Business/legal support (non-secretarial)",100.0000,100.0000,32262.3613,[30469.62500-34055.09766],84.4408,[80.71582-87.55721],23604.6973,[21732.83203-25476.56250]
"  Communication professionals",100.0000,[99.99999-99.99999],40575.4844,[36105.46094-45045.50781],82.5813,[72.63387-89.43871],21005.5566,[17568.00391-24443.10938]
"  Computer/information systems occupations",100.0000,100.0000,57946.5977,[49388.38672-66504.81250],92.1700,[81.14915-96.98690],38485.8125,[33672.23438-43299.39062]
"  Construction/mining occupations",‡,‡,‡,[‡-‡],‡,[‡-‡],‡,[‡-‡]
"  Engineering technicians",‡,[‡-‡],‡,[‡-‡],‡,[‡-‡],‡,[‡-‡]
"  Engineers",100.0000,100.0000,60717.0625,[54117.85156-67316.27344],89.0374,[75.54857-95.52572],40076.3828,[32581.91016-47570.85547]
"  Fitters, tradesmen and mechanics",100.0000,[99.99999-99.99999],36407.9922,[27933.22070-44882.76562],80.4641,[53.50971-93.64631],19615.1934,[9823.24707-29407.14062]
"  Food service occupations",100.0000,[NaN-NaN],19530.0898,[16072.43945-22987.74023],88.1040,[78.41188-93.78941],18464.1270,[15300.68652-21627.56641]
"  Healthcare professionals (non-nurses)",100.0000,100.0000,52997.3438,[48245.17188-57749.51562],57.9035,[49.37775-65.98258],14715.9160,[10863.22266-18568.60938]
"  Information professionals",100.0000,100.0000,32843.1797,[27962.66797-37723.69141],75.7798,[57.76516-87.74117],18204.2031,[14235.00586-22173.40039]
"  Legal professionals",100.0000,100.0000,59102.8711,[46679.59766-71526.14844],53.1327,[36.24110-69.33574],12374.2969,[6076.19727-18672.39648]
"  Life scientists",100.0000,[NaN-NaN],30831.0410,[25071.41016-36590.67188],90.4858,[66.02842-97.89640],24492.2832,[19783.49219-29201.07422]
"  Math-related occupations",100.0000,100.0000,50928.5000,[42490.67969-59366.32031],91.4570,[63.18825-98.52438],32465.0430,[24002.96875-40927.11719]
"  Military",‡,‡,‡,[‡-‡],‡,[‡-‡],‡,[‡-‡]
"  Nurses",100.0000,100.0000,51746.4453,[49009.89453-54482.99609],93.4825,[88.85950-96.26762],41918.4961,[39047.19922-44789.79297]
"  Other educators",100.0000,100.0000,29741.5918,[26907.61523-32575.56836],86.8889,[80.27370-91.52000],22483.4336,[19585.29102-25381.57617]
"  Other healthcare occupations",100.0000,100.0000,35283.9453,[32277.01172-38290.87891],84.8328,[79.02628-89.25042],27123.6934,[23041.41797-31205.96875]
"  Personal care occupations",100.0000,[99.99999-99.99999],27181.0918,[20889.05078-33473.13281],78.5778,[67.55338-86.59945],22154.0977,[16728.20703-27579.98828]
"  Physical scientists",100.0000,[99.99999-99.99999],56456.0430,[42193.55078-70718.53125],93.0398,[72.46583-98.54849],36287.7109,[24650.70312-47924.71875]
"  PK-12 educators",100.0000,100.0000,38211.6602,[35548.33594-40874.98438],89.6560,[86.42339-92.18850],26742.9766,[25512.56250-27973.39062]
"  Postsecondary educators",100.0000,100.0000,28833.3223,[24370.63672-33296.00781],80.8540,[73.39266-86.60492],22422.8887,[18930.29883-25915.47852]
"  Protective service occupations",100.0000,100.0000,45603.8789,[36372.43750-54835.32031],97.6991,[82.39727-99.74105],32995.0312,[27352.41992-38637.64453]
"  Sales occupations",100.0000,100.0000,35658.1992,[31944.16016-39372.23828],82.5781,[74.82030-88.31895],23883.9082,[21054.89844-26712.91797]
"  Secretaries and administrative assistants",100.0000,100.0000,33194.1367,[30854.56836-35533.70312],89.0089,[80.15944-94.19695],25253.4609,[22709.75586-27797.16602]
"  Social scientists",100.0000,100.0000,37424.3984,[32283.68555-42565.10938],91.6593,[83.16328-96.07065],24867.8477,[20475.79688-29259.89844]
"  Social service professionals",100.0000,100.0000,36577.6523,[34328.96484-38826.33984],86.8480,[81.99266-90.54513],24139.0156,[21763.55469-26514.47656]
"  Sports occupations",‡,‡,‡,[‡-‡],‡,[‡-‡],‡,[‡-‡]
"  Transport support occupations",‡,‡,‡,[‡-‡],‡,[‡-‡],‡,[‡-‡]
"  {Skipped}",#,#,#,#,53.4020,[47.42473-59.28318],16238.7266,[14120.65137-18356.80273]
" "
"Employment and enrollment status in 2012"
"  Full time, one job, enrolled",98.7509,[96.61729-99.54511],44614.0078,[42404.45703-46823.55859],93.0775,[88.99812-95.71712],33034.6094,[30457.96875-35611.25000]
"  Full time, one job, not enrolled",98.5565,[97.92071-98.99994],46515.3320,[45228.86328-47801.80078],88.4088,[86.99049-89.69074],29534.6953,[28585.31445-30484.07617]
"  Part time, one job, enrolled",96.0171,[88.56319-98.68506],19551.8047,[16583.23828-22520.37109],79.8309,[71.26973-86.33029],22661.3984,[19003.79102-26319.00586]
